reason,tmdb_id,slug,score,movie_title,year_released,tmdb_title,tmdb_year,release_date,popularity,existing_slug
collision_existing,89923,american-hunter,1.2503,American Hunter,1989,American Hunter,1989,1989-05-20,0.5262,mission-hunter
collision_existing,3016,dr-jekyll-and-mr-hyde-1920-5,1.2503,Dr. Jekyll and Mr. Hyde,1920,Dr. Jekyll and Mr. Hyde,1920,1920-03-18,0.6489,dr-jekyll-and-mr-hyde-1920
no_match,,apartment-407,,Apartment 407,2019,,,,,
low_confidence,11299,cowboy-bebop,0.7083,Cowboy Bebop,1998,Cowboy Bebop: The Movie,2001,2001-09-01,4.8257,
no_match,,dark-obsession,,Dark Obsession,1989,,,,,
no_match,,arcade-gamer-fubuki,,Arcade Gamer Fubuki,2002,,,,,
no_match,,tennessee-devil-redux,,Tennessee Devil Redux,2017,,,,,
low_confidence,626945,arietta,0.6667,Arietta,1989,Arietta antica,1930,1930-12-31,0.0311,
no_match,,alabama-2000-light-years-from-home,,Alabama: 2000 Light Years from Home,1969,,,,,
no_match,,trigonometry,,Trigonometry,2020,,,,,
low_confidence,48625,macross-frontier,0.7048,Macross Frontier,2008,Macross Frontier: The False Songstress,2009,2009-11-21,1.9529,
no_match,,bruxarias,,Bruxarias,2017,,,,,
no_match,,cherish-your-teeth,,Cherish Your Teeth,2020,,,,,
collision_existing,32088,the-little-drummer-girl-2018,1.0005,The Little Drummer Girl,2018,The Little Drummer Girl,1984,1984-10-19,1.0510,the-little-drummer-girl
no_match,,the-6-ultra-brothers-vs-the-monster-army,,The 6 Ultra Brothers vs. the Monster Army,1974,,,,,
low_confidence,718235,shepherd-the-hero-dog,0.7548,Shepherd: The Hero Dog,2019,Shepherd: The Story of a Jewish Dog,2020,2020-02-22,0.5373,
no_match,,beastenders,,BeastEnders,2006,,,,,
no_match,,the-mummy-of-tutankhamun,,The Mummy of Tutankhamun,2016,,,,,
low_confidence,210695,much-ado-about-nothing-shakespeares-globe-theatre,0.7284,Shakespeare's Globe: Much Ado About Nothing,2012,Much Ado About Nothing - Live at Shakespeare's Globe,2012,2012-10-09,0.3191,
no_match,,studio-100-sprookjes-musicals-sneeuwwitje,,"Sneeuwwitje, de Romantische Familiemusical",2005,,,,,
no_match,,jill-billcock-the-art-of-film-editing,,Jill Billcock: The Art of Film Editing,2017,,,,,
no_match,,damned-the-day-i-met-you,,Damned the Day I Met You,1992,,,,,
low_confidence,605683,garbo-1969,0.6205,Garbo,1969,"Garbo, by Joan Crawford",1969,1969-11-06,0.2396,
no_match,,the-last-days-of-left-eye,,The Last Days of Left Eye,2007,,,,,
no_match,,nathan-daniel-philips-returns,,Nathan Daniel Philips Returns,2019,,,,,
no_match,,sinterklaas-en-het-geheim-van-het-grote-boek,,Sinterklaas en het geheim van het Grote Boek,2008,,,,,
no_match,,as-borboletas-tambem-amam,,Butterflies also Love,1979,,,,,
no_match,,is-this-what-you-were-born-for,,Is This What You Were Born For?,1989,,,,,
no_match,,ac-dc-family-jewels-dvd-1,,AC/DC: Family Jewels DVD 1,2005,,,,,
low_confidence,458764,ismail-yassine-and-the-ghost,0.7702,Ismail Yassine and the Ghost,1954,Afretet Ismaiel Yassin,1954,1954-05-31,0.3071,
no_match,,prison-nights,,Prison Nights,2020,,,,,
no_match,,askar-fel-moaskar,,Askar Fel Moaskar,2003,,,,,
no_match,,nuremberg-nazis-on-trial,,Nuremberg: Nazis on Trial,2006,,,,,
no_match,,the-hasty-marriage,,The Hasty Marriage,1931,,,,,
collision_existing,199928,the-outsider-2018-2,1.2512,The Outsider,2018,The Outsider,2018,2018-03-09,2.3091,the-outsider-2
no_match,,nosferatu-the-first-vampire,,Nosferatu: The First Vampire,1998,,,,,
no_match,,the-lord-of-the-rings-collection,,The Lord of the Rings Collection,2003,,,,,
no_match,,superother,,SuperOther,1989,,,,,
low_confidence,1010174,commandments-for-health,0.6891,Commandments for Health,1945,Cleaning Mess Gear,1945,1945-01-01,0.0683,
no_match,,blizzard-of-souls,,Blizzard of Souls,2019,,,,,
no_match,,the-mouse-utopia-experiments-down-the-rabbit-hole-2017,,The Mouse Utopia Experiments | Down the Rabbit Hole,2017,,,,,
no_match,,dragon-ball-z-abridged-cooler-2-the-return-of-coolers-revenge-the-reckoning,,Dragon Ball Z Abridged: Cooler 2: The Return of Cooler's Revenge: The Reckoning,,,,,,
collision_existing,752766,feelings-1984,1.0120,Feelings,1984,Hard Feelings,1984,1984-03-20,0.1178,hard-feelings-1984
collision_existing,47943,with-a-friend-like-harry,1.2505,With a Friend Like Harry...,2000,With a Friend Like Harry...,2000,2000-08-15,1.0280,friend-like-me
collision_existing,637920,miracle-in-cell-no-7-2019-1,1.2543,Miracle in Cell No. 7,2019,Miracle in Cell No. 7,2019,2019-10-10,8.5403,miracle-in-cell-no-7-2019
no_match,,the-famous-five-3,,The Famous Five 3,2014,,,,,
no_match,,devils-little-acre,,Devil's Little Acre,1972,,,,,
no_match,,an-autumn-storm,,An Autumn Storm,2019,,,,,
no_match,,only-fools-and-horses-mother-natures-son,,Only Fools and Horses - Mother Nature's Son,1992,,,,,
no_match,,tori-amos-live-from-ny,,Tori Amos - Live from NY,1997,,,,,
no_match,,poirot-the-mystery-of-the-blue-train,,Poirot: The Mystery of the Blue Train,2005,,,,,
no_match,,butterflies-have-no-memories,,Butterflies Have No Memories,2009,,,,,
no_match,,the-myth-of-orpheus-and-eurydice-2016,,The Myth of Orpheus and Eurydice,2016,,,,,
low_confidence,36887,schoolgirl-report-part-2-what-keeps-parents-awake-at-night,0.6143,Schoolgirl Report Part 2: What Keeps Parents Awake at Night,1971,Further Confessions of a Sixth Form Girl,1971,1971-08-26,1.2711,
no_match,,the-sallskapsresor-collection,,The Sällskapsresor Collection,,,,,,
no_match,,killer-tomatoes-collection,,Killer Tomatoes! Collection,,,,,,
no_match,,unfriended-proxy,,Unfriended: Proxy,2020,,,,,
no_match,,love-and-other-impossible-pursuits-double-entry,,Love and Other Impossible Pursuits (DOUBLE ENTRY),2009,,,,,
